index,Rings
3342,21
3343,18
3344,10
3345,15
3346,13
3347,10
3348,10
3349,12
3350,11
3351,10
3352,7
3353,8
3354,12
3355,21
3356,9
3357,10
3358,8
3359,12
3360,10
3361,9
3362,10
3363,6
3364,8
3365,8
3366,8
3367,10
3368,6
3369,9
3370,8
3371,10
3372,17
3373,9
3374,13
3375,6
3376,9
3377,11
3378,5
3379,19
3380,11
3381,9
3382,12
3383,8
3384,11
3385,6
3386,10
3387,7
3388,15
3389,12
3390,9
3391,10
3392,7
3393,11
3394,8
3395,10
3396,9
3397,9
3398,10
3399,9
3400,14
3401,13
3402,8
3403,8
3404,8
3405,14
3406,12
3407,11
3408,8
3409,7
3410,9
3411,12
3412,9
3413,11
3414,11
3415,10
3416,13
3417,7
3418,9
3419,11
3420,6
3421,8
3422,14
3423,9
3424,9
3425,11
3426,8
3427,9
3428,12
3429,22
3430,8
3431,8
3432,7
3433,12
3434,8
3435,9
3436,11
3437,6
3438,14
3439,9
3440,11
3441,9
3442,12
3443,11
3444,11
3445,8
3446,9
3447,8
3448,8
3449,11
3450,6
3451,7
3452,10
3453,13
3454,10
3455,8
3456,10
3457,8
3458,19
3459,8
3460,16
3461,13
3462,9
3463,8
3464,10
3465,8
3466,7
3467,8
3468,14
3469,9
3470,7
3471,16
3472,5
3473,8
3474,9
3475,14
3476,10
3477,7
3478,8
3479,3
3480,11
3481,12
3482,9
3483,14
3484,11
3485,10
3486,13
3487,10
3488,10
3489,10
3490,14
3491,14
3492,11
3493,7
3494,7
3495,8
3496,5
3497,15
3498,3
3499,6
3500,9
3501,10
3502,9
3503,8
3504,10
3505,12
3506,7
3507,10
3508,10
3509,15
3510,8
3511,8
3512,15
3513,13
3514,8
3515,11
3516,14
3517,11
3518,10
3519,7
3520,14
3521,11
3522,9
3523,10
3524,9
3525,5
3526,9
3527,5
3528,15
3529,12
3530,12
3531,12
3532,7
3533,14
3534,11
3535,9
3536,9
3537,5
3538,8
3539,8
3540,13
3541,10
3542,12
3543,6
3544,11
3545,9
3546,11
3547,9
3548,10
3549,8
3550,10
3551,10
3552,11
3553,10
3554,21
3555,12
3556,10
3557,7
3558,7
3559,7
3560,8
3561,6
3562,10
3563,10
3564,10
3565,9
3566,9
3567,8
3568,12
3569,11
3570,10
3571,11
3572,9
3573,8
3574,17
3575,9
3576,8
3577,8
3578,7
3579,12
3580,12
3581,5
3582,10
3583,8
3584,8
3585,12
3586,16
3587,9
3588,10
3589,6
3590,6
3591,9
3592,13
3593,12
3594,5
3595,6
3596,4
3597,17
3598,7
3599,11
3600,12
3601,11
3602,10
3603,12
3604,9
3605,12
3606,4
3607,7
3608,11
3609,9
3610,6
3611,20
3612,9
3613,11
3614,12
3615,11
3616,7
3617,9
3618,4
3619,14
3620,8
3621,10
3622,10
3623,5
3624,13
3625,9
3626,7
3627,9
3628,11
3629,8
3630,8
3631,9
3632,9
3633,7
3634,6
3635,11
3636,10
3637,8
3638,10
3639,10
3640,13
3641,7
3642,13
3643,8
3644,14
3645,8
3646,10
3647,10
3648,8
3649,10
3650,16
3651,10
3652,11
3653,11
3654,10
3655,5
3656,18
3657,13
3658,11
3659,7
3660,10
3661,13
3662,12
3663,6
3664,15
3665,10
3666,11
3667,18
3668,18
3669,10
3670,10
3671,21
3672,10
3673,4
3674,12
3675,18
3676,10
3677,6
3678,8
3679,8
3680,10
3681,9
3682,10
3683,7
3684,7
3685,10
3686,9
3687,20
3688,10
3689,8
3690,9
3691,12
3692,6
3693,14
3694,10
3695,8
3696,11
3697,5
3698,6
3699,16
3700,11
3701,11
3702,11
3703,6
3704,10
3705,9
3706,6
3707,11
3708,9
3709,10
3710,5
3711,9
3712,13
3713,5
3714,11
3715,7
3716,6
3717,10
3718,5
3719,5
3720,8
3721,9
3722,7
3723,13
3724,6
3725,9
3726,7
3727,9
3728,8
3729,9
3730,14
3731,18
3732,8
3733,12
3734,16
3735,12
3736,8
3737,11
3738,11
3739,10
3740,11
3741,8
3742,13
3743,10
3744,11
3745,10
3746,10
3747,13
3748,9
3749,9
3750,8
3751,9
3752,8
3753,11
3754,6
3755,7
3756,4
3757,7
3758,7
3759,10
3760,11
3761,9
3762,9
3763,7
3764,15
3765,6
3766,9
3767,13
3768,11
3769,9
3770,16
3771,6
3772,7
3773,10
3774,7
3775,10
3776,7
3777,7
3778,6
3779,9
3780,26
3781,13
3782,10
3783,10
3784,6
3785,6
3786,9
3787,10
3788,6
3789,6
3790,16
3791,18
3792,9
3793,5
3794,11
3795,5
3796,9
3797,10
3798,8
3799,9
3800,8
3801,11
3802,6
3803,10
3804,9
3805,10
3806,19
3807,9
3808,13
3809,9
3810,7
3811,8
3812,9
3813,12
3814,17
3815,14
3816,9
3817,9
3818,6
3819,9
3820,20
3821,7
3822,6
3823,13
3824,9
3825,7
3826,11
3827,7
3828,7
3829,9
3830,11
3831,7
3832,8
3833,6
3834,10
3835,12
3836,11
3837,9
3838,10
3839,7
3840,11
3841,11
3842,9
3843,11
3844,13
3845,9
3846,10
3847,9
3848,8
3849,10
3850,12
3851,12
3852,11
3853,4
3854,9
3855,10
3856,14
3857,9
3858,6
3859,8
3860,9
3861,3
3862,14
3863,10
3864,7
3865,9
3866,15
3867,10
3868,6
3869,11
3870,10
3871,9
3872,11
3873,11
3874,9
3875,8
3876,7
3877,9
3878,11
3879,10
3880,11
3881,11
3882,13
3883,20
3884,11
3885,14
3886,16
3887,8
3888,11
3889,6
3890,7
3891,8
3892,12
3893,10
3894,14
3895,8
3896,10
3897,8
3898,10
3899,9
3900,6
3901,8
3902,12
3903,14
3904,9
3905,19
3906,11
3907,10
3908,11
3909,6
3910,16
3911,3
3912,12
3913,10
3914,9
3915,8
3916,14
3917,12
3918,7
3919,8
3920,12
3921,9
3922,6
3923,8
3924,10
3925,9
3926,14
3927,10
3928,10
3929,9
3930,14
3931,14
3932,9
3933,10
3934,8
3935,12
3936,14
3937,4
3938,15
3939,12
3940,12
3941,6
3942,6
3943,10
3944,9
3945,11
3946,8
3947,20
3948,14
3949,8
3950,8
3951,11
3952,9
3953,8
3954,4
3955,10
3956,9
3957,23
3958,9
3959,11
3960,11
3961,7
3962,5
3963,9
3964,16
3965,9
3966,9
3967,14
3968,10
3969,7
3970,11
3971,10
3972,15
3973,11
3974,8
3975,8
3976,9
3977,11
3978,15
3979,5
3980,13
3981,14
3982,7
3983,10
3984,9
3985,15
3986,10
3987,9
3988,9
3989,10
3990,5
3991,12
3992,12
3993,4
3994,7
3995,9
3996,12
3997,18
3998,8
3999,19
4000,12
4001,8
4002,14
4003,13
4004,10
4005,8
4006,6
4007,2
4008,8
4009,11
4010,7
4011,10
4012,8
4013,13
4014,14
4015,16
4016,7
4017,7
4018,11
4019,10
4020,9
4021,8
4022,15
4023,11
4024,7
4025,17
4026,9
4027,14
4028,8
4029,6
4030,3
4031,14
4032,7
4033,7
4034,9
4035,11
4036,9
4037,8
4038,10
4039,6
4040,9
4041,15
4042,10
4043,5
4044,8
4045,10
4046,7
4047,5
4048,10
4049,13
4050,9
4051,13
4052,7
4053,4
4054,15
4055,17
4056,13
4057,8
4058,12
4059,13
4060,10
4061,7
4062,11
4063,8
4064,8
4065,9
4066,5
4067,12
4068,7
4069,7
4070,17
4071,9
4072,6
4073,7
4074,10
4075,10
4076,11
4077,10
4078,7
4079,7
4080,8
4081,6
4082,10
4083,8
4084,17
4085,10
4086,9
4087,4
4088,10
4089,9
4090,10
4091,12
4092,20
4093,12
4094,9
4095,15
4096,7
4097,10
4098,9
4099,5
4100,8
4101,9
4102,11
4103,10
4104,7
4105,7
4106,12
4107,6
4108,8
4109,12
4110,9
4111,9
4112,9
4113,12
4114,8
4115,6
4116,7
4117,8
4118,11
4119,14
4120,9
4121,18
4122,8
4123,9
4124,8
4125,7
4126,10
4127,9
4128,8
4129,18
4130,12
4131,8
4132,7
4133,18
4134,7
4135,9
4136,17
4137,7
4138,10
4139,13
4140,9
4141,14
4142,4
4143,9
4144,14
4145,13
4146,9
4147,5
4148,10
4149,9
4150,16
4151,18
4152,8
4153,6
4154,11
4155,7
4156,9
4157,10
4158,11
4159,12
4160,7
4161,9
4162,10
4163,6
4164,9
4165,9
4166,7
4167,10
4168,13
4169,6
4170,9
4171,7
4172,11
4173,8
4174,10
4175,10
4176,9
4177,7
