index,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
1,I,0.365,0.27,0.105,0.2155,0.0915,0.0475,0.063,6
2,M,0.6,0.45,0.16,1.142,0.539,0.225,0.307,10
3,M,0.67,0.545,0.2,1.7025,0.833,0.374,0.41,11
4,I,0.505,0.385,0.125,0.596,0.245,0.097,0.21,9
5,M,0.665,0.515,0.2,1.2695,0.5115,0.2675,0.436,12
6,I,0.5,0.41,0.14,0.6615,0.2585,0.1625,0.196,9
7,M,0.575,0.435,0.13,1.0105,0.368,0.222,0.32,10
8,F,0.475,0.38,0.14,0.689,0.3165,0.1315,0.1955,7
9,M,0.585,0.465,0.16,0.9555,0.4595,0.236,0.265,7
10,M,0.63,0.485,0.16,1.243,0.623,0.275,0.3,10
11,M,0.61,0.46,0.16,1.0,0.494,0.197,0.275,10
12,M,0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295,19
13,M,0.175,0.125,0.04,0.024,0.0095,0.006,0.005,4
14,F,0.51,0.34,0.18,0.7005,0.312,0.165,0.2,11
15,F,0.67,0.53,0.225,1.5615,0.63,0.487,0.3725,11
16,F,0.56,0.435,0.125,0.8775,0.3345,0.2145,0.29,13
17,M,0.63,0.465,0.15,1.027,0.537,0.188,0.176,8
18,F,0.61,0.465,0.16,1.0725,0.4835,0.2515,0.28,10
19,I,0.445,0.355,0.095,0.3615,0.1415,0.0785,0.12,8
20,I,0.495,0.33,0.1,0.44,0.177,0.095,0.15,7
21,F,0.61,0.46,0.155,0.957,0.4255,0.1975,0.265,8
22,I,0.34,0.25,0.07,0.2225,0.104,0.0425,0.055,7
23,M,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055,6
24,M,0.72,0.575,0.215,2.173,0.9515,0.564,0.5365,12
25,F,0.575,0.48,0.15,0.8745,0.375,0.193,0.29,12
26,F,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,9
27,I,0.59,0.45,0.145,1.022,0.428,0.268,0.265,10
28,M,0.565,0.44,0.115,0.9185,0.404,0.1785,0.29,11
29,M,0.56,0.45,0.185,1.07,0.3805,0.175,0.41,19
30,M,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12
31,F,0.52,0.405,0.145,0.829,0.3535,0.1685,0.205,15
32,I,0.64,0.49,0.135,1.1,0.488,0.2505,0.2925,10
33,F,0.485,0.375,0.135,0.556,0.1925,0.1315,0.1685,10
34,I,0.55,0.42,0.155,0.912,0.495,0.1805,0.205,9
35,I,0.4,0.305,0.1,0.3415,0.176,0.0625,0.0865,7
36,I,0.495,0.38,0.145,0.5,0.205,0.148,0.1505,8
37,F,0.67,0.52,0.19,1.32,0.5235,0.3095,0.4275,13
38,I,0.515,0.4,0.125,0.5925,0.265,0.1175,0.168,9
39,I,0.45,0.33,0.115,0.365,0.14,0.0825,0.1245,8
40,I,0.47,0.355,0.12,0.3685,0.126,0.0835,0.1365,6
41,M,0.67,0.55,0.17,1.247,0.472,0.2455,0.4,21
42,M,0.415,0.345,0.135,0.3865,0.128,0.07,0.148,13
43,M,0.58,0.46,0.165,1.2275,0.473,0.1965,0.435,16
44,I,0.385,0.28,0.085,0.2175,0.097,0.038,0.067,8
45,M,0.635,0.495,0.155,1.3635,0.583,0.2985,0.295,10
46,F,0.61,0.47,0.165,1.1785,0.566,0.2785,0.294,11
47,I,0.5,0.38,0.155,0.6675,0.2745,0.156,0.18,12
48,M,0.545,0.46,0.16,0.8975,0.341,0.1655,0.345,10
49,F,0.605,0.485,0.165,0.9515,0.4535,0.193,0.2765,11
50,I,0.53,0.42,0.155,0.81,0.4725,0.111,0.192,10
51,M,0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07,9
52,F,0.7,0.535,0.175,1.773,0.6805,0.48,0.512,15
53,M,0.49,0.395,0.135,0.5545,0.213,0.0925,0.215,14
54,F,0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,11
55,M,0.5,0.38,0.155,0.5955,0.2135,0.161,0.2,12
56,M,0.63,0.485,0.18,1.2435,0.5175,0.308,0.37,11
57,M,0.58,0.45,0.16,0.8675,0.3935,0.221,0.215,9
58,F,0.65,0.505,0.175,1.2075,0.5105,0.262,0.39,10
59,F,0.58,0.5,0.165,0.925,0.37,0.185,0.3005,10
60,I,0.435,0.335,0.105,0.3535,0.156,0.05,0.1135,7
61,M,0.57,0.42,0.155,1.008,0.377,0.193,0.34,13
62,F,0.46,0.38,0.13,0.639,0.3,0.1525,0.16,11
63,I,0.39,0.3,0.1,0.2665,0.1105,0.059,0.084,7
64,F,0.59,0.485,0.205,1.2315,0.4525,0.238,0.42,13
65,F,0.49,0.385,0.16,0.656,0.2455,0.171,0.205,9
66,M,0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,9
67,I,0.46,0.345,0.105,0.449,0.196,0.0945,0.1265,7
68,M,0.53,0.405,0.13,0.738,0.2845,0.17,0.193,9
69,I,0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,6
70,M,0.52,0.385,0.14,0.6595,0.2485,0.2035,0.16,9
71,F,0.53,0.41,0.145,0.8255,0.375,0.204,0.245,9
72,I,0.445,0.345,0.13,0.4075,0.1365,0.0645,0.18,11
73,I,0.415,0.325,0.1,0.313,0.139,0.0625,0.0965,7
74,I,0.495,0.375,0.115,0.5755,0.31,0.1145,0.1395,8
75,M,0.56,0.415,0.145,0.852,0.43,0.1885,0.205,8
76,M,0.525,0.41,0.165,0.8005,0.2635,0.1985,0.25,13
77,M,0.415,0.315,0.125,0.388,0.068,0.09,0.125,12
78,I,0.505,0.39,0.15,0.685,0.362,0.131,0.156,8
79,I,0.61,0.49,0.16,1.1545,0.5865,0.2385,0.2915,11
80,F,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,12
81,F,0.505,0.39,0.175,0.692,0.267,0.15,0.215,12
82,M,0.51,0.395,0.125,0.5805,0.244,0.1335,0.188,11
83,F,0.625,0.47,0.17,1.255,0.525,0.2415,0.405,10
84,F,0.6,0.48,0.18,1.0645,0.4495,0.2455,0.325,10
85,I,0.53,0.4,0.125,0.617,0.279,0.127,0.19,8
86,I,0.425,0.31,0.095,0.3075,0.139,0.0745,0.093,7
87,M,0.42,0.34,0.115,0.4215,0.175,0.093,0.135,8
88,F,0.645,0.51,0.2,1.5675,0.621,0.367,0.46,12
89,M,0.585,0.455,0.145,0.953,0.3945,0.2685,0.258,10
90,M,0.555,0.455,0.16,1.0575,0.3925,0.228,0.293,13
91,I,0.4,0.315,0.1,0.3225,0.143,0.0735,0.091,6
92,F,0.605,0.49,0.15,1.1345,0.4305,0.2525,0.35,10
93,M,0.535,0.405,0.14,0.818,0.402,0.1715,0.189,7
94,I,0.475,0.355,0.115,0.5195,0.279,0.088,0.1325,7
95,M,0.7,0.575,0.19,2.273,1.095,0.418,0.638,12
96,I,0.505,0.385,0.12,0.6005,0.239,0.142,0.185,7
97,F,0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635,9
98,M,0.7,0.53,0.19,1.3185,0.548,0.233,0.42,18
99,I,0.36,0.27,0.085,0.196,0.0875,0.035,0.064,4
100,I,0.22,0.16,0.05,0.049,0.0215,0.01,0.015,4
101,M,0.615,0.475,0.205,1.337,0.5995,0.2815,0.37,11
102,M,0.585,0.51,0.16,1.218,0.639,0.241,0.3,11
103,F,0.575,0.435,0.15,1.0305,0.4605,0.218,0.36,8
104,M,0.62,0.49,0.17,1.2105,0.5185,0.2555,0.335,13
105,M,0.58,0.445,0.16,0.984,0.49,0.201,0.27,9
106,F,0.65,0.545,0.23,1.752,0.5605,0.2895,0.815,16
107,F,0.37,0.275,0.1,0.2225,0.093,0.026,0.08,8
108,M,0.495,0.38,0.12,0.474,0.197,0.1065,0.1545,10
109,I,0.485,0.365,0.125,0.426,0.163,0.0965,0.151,8
110,F,0.665,0.5,0.15,1.2475,0.4625,0.2955,0.3595,10
111,F,0.52,0.4,0.12,0.6515,0.261,0.2015,0.165,15
112,M,0.52,0.4,0.165,0.8565,0.2745,0.201,0.21,12
113,M,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,12
114,I,0.255,0.19,0.05,0.083,0.0295,0.0215,0.027,6
115,M,0.58,0.45,0.12,0.8685,0.418,0.1475,0.2605,8
116,F,0.625,0.515,0.18,1.3485,0.5255,0.252,0.3925,14
